date,logret
2013-12-19,0.002160
2013-12-20,-0.003241
2013-12-23,0.001081
2013-12-24,-0.001082
2013-12-26,-0.002167
2013-12-27,0.000000
2013-12-30,-0.001086
2013-12-31,-0.006536
2014-01-02,0.010870
2014-01-03,0.004315
2014-01-06,0.005368
2014-01-07,0.001070
2014-01-08,0.000000
2014-01-09,0.001069
2014-01-10,0.003200
2014-01-13,0.001064
2014-01-14,0.000000
2014-01-15,-0.003196
2014-01-16,0.003197
2014-01-17,0.002126
2014-01-21,0.001061
2014-01-22,0.001059
2014-01-23,0.001058
2014-01-24,-0.012779
2014-01-27,0.008537
2014-01-28,0.004242
2014-01-29,0.000000
2014-01-30,-0.003180
2014-01-31,-0.002125
2014-02-03,-0.002130
2014-02-04,0.013764
2014-02-05,-0.002105
2014-02-06,0.002105
2014-02-07,-0.008448
2014-02-10,0.004233
2014-02-11,-0.011684
2014-02-12,-0.001069
2014-02-13,-0.003214
2014-02-14,-0.004301
2014-02-18,0.001077
2014-02-19,-0.001077
2014-02-20,0.000000
2014-02-21,0.006445
2014-02-24,-0.003217
2014-02-25,0.002146
2014-02-26,0.002142
2014-02-27,-0.003214
2014-02-28,-0.004301
2014-03-03,0.001077
2014-03-04,-0.011912
2014-03-05,0.002177
2014-03-06,-0.005450
2014-03-07,0.001092
2014-03-10,0.008696
2014-03-11,0.003242
2014-03-12,0.004306
2014-03-13,-0.006466
2014-03-14,-0.008687
2014-03-17,0.019439
2014-03-18,-0.001071
2014-03-19,0.005339
2014-03-20,-0.001066
2014-03-21,0.002130
2014-03-24,0.009528
2014-03-25,0.001053
2014-03-26,0.002103
2014-03-27,0.004193
2014-03-28,0.001045
2014-03-31,0.001044
2014-04-01,-0.003137
2014-04-02,-0.003146
2014-04-03,-0.002103
2014-04-04,0.007341
2014-04-07,-0.002092
2014-04-08,0.003136
2014-04-09,0.001043
2014-04-10,-0.002088
2014-04-11,-0.004189
2014-04-14,0.008360
2014-04-15,-0.004171
2014-04-16,-0.001046
2014-04-17,0.003133
2014-04-21,0.001042
2014-04-22,-0.006270
2014-04-23,0.002094
2014-04-24,0.000000
2014-04-25,0.003133
2014-04-28,0.003123
2014-04-29,-0.002081
2014-04-30,0.001041
2014-05-01,0.002079
2014-05-02,0.005179
2014-05-05,0.002064
2014-05-06,0.001030
2014-05-07,0.000000
2014-05-08,0.002058
2014-05-09,0.003078
2014-05-12,-0.005136
2014-05-13,0.000000
2014-05-14,0.005136
2014-05-15,0.002047
2014-05-16,0.003062
2014-05-19,0.001018
2014-05-20,0.002035
2014-05-21,0.000000
2014-05-22,-0.001017
2014-05-23,0.001016
2014-05-27,-0.005094
2014-05-28,0.001020
2014-05-29,-0.005115
2014-05-30,0.001025
2014-06-02,0.001024
2014-06-03,0.000000
2014-06-04,-0.003076
2014-06-05,-0.008248
2014-06-06,-0.001036
2014-06-09,0.001035
2014-06-10,0.003101
2014-06-11,0.001031
2014-06-12,-0.001032
2014-06-13,0.002062
2014-06-16,0.001029
2014-06-17,0.002056
2014-06-18,0.002051
2014-06-19,0.002047
2014-06-20,-0.002047
2014-06-23,0.005110
2014-06-24,-0.001020
2014-06-25,0.001019
2014-06-26,0.002037
2014-06-27,0.000000
2014-06-30,0.003047
2014-07-01,-0.006104
2014-07-02,0.002039
2014-07-03,-0.003060
2014-07-07,0.004078
2014-07-08,0.003047
2014-07-09,0.000000
2014-07-10,-0.002030
2014-07-11,0.004057
2014-07-14,0.001011
2014-07-15,0.001010
2014-07-16,0.002018
2014-07-17,-0.010132
2014-07-18,0.008114
2014-07-21,0.004032
2014-07-22,-0.002014
2014-07-23,-0.001009
2014-07-24,-0.001010
2014-07-25,0.001009
2014-07-28,0.003022
2014-07-29,0.000000
2014-07-30,0.001005
2014-07-31,-0.016211
2014-08-01,0.003059
2014-08-04,0.014156
2014-08-05,-0.001005
2014-08-06,0.005012
2014-08-07,0.003992
2014-08-08,-0.001994
2014-08-11,0.002990
2014-08-12,0.001988
2014-08-13,0.000000
2014-08-14,-0.000993
2014-08-15,-0.000994
2014-08-18,0.000000
2014-08-19,-0.003988
2014-08-20,-0.000999
2014-08-21,-0.003005
2014-08-22,0.003004
2014-08-25,-0.001001
2014-08-26,-0.002004
2014-08-27,0.002004
2014-08-28,0.000000
2014-08-29,-0.001002
2014-09-02,0.004997
2014-09-03,0.000997
2014-09-04,0.000000
2014-09-05,0.000000
2014-09-08,0.002984
2014-09-09,0.000993
2014-09-10,0.000992
2014-09-11,0.000991
2014-09-12,0.001978
2014-09-15,-0.000988
2014-09-16,0.001976
2014-09-17,0.000000
2014-09-18,-0.000987
2014-09-19,0.000000
2014-09-22,0.002960
2014-09-23,-0.000985
2014-09-24,0.001970
2014-09-25,-0.001971
2014-09-26,0.001970
2014-09-29,0.001967
2014-09-30,0.000000
2014-10-01,0.004900
2014-10-02,0.003902
2014-10-03,0.000000
2014-10-06,0.000974
2014-10-07,0.000000
2014-10-08,-0.002922
2014-10-09,-0.003910
2014-10-10,-0.008854
2014-10-13,-0.010930
2014-10-14,0.018803
2014-10-15,-0.017805
2014-10-16,-0.012048
2014-10-17,-0.019379
2014-10-20,0.011265
2014-10-21,-0.020577
2014-10-22,-0.008351
2014-10-23,-0.009479
2014-10-24,-0.005305
2014-10-27,0.010582
2014-10-28,-0.006336
2014-10-29,0.002117
2014-10-30,-0.011696
2014-10-31,-0.024907
2014-11-03,0.003284
2014-11-04,0.004362
2014-11-05,-0.001089
2014-11-06,0.001088
2014-11-07,0.008667
2014-11-10,0.004306
2014-11-11,-0.001075
2014-11-12,0.000000
2014-11-13,0.000000
2014-11-14,0.003221
2014-11-17,0.003210
2014-11-18,-0.004283
2014-11-19,0.002144
2014-11-20,0.003207
2014-11-21,0.000000
2014-11-24,0.004260
2014-11-25,0.003183
2014-11-26,-0.001060
2014-11-28,-0.003186
2014-12-01,0.002126
2014-12-02,0.008457
2014-12-03,0.000000
2014-12-04,0.004202
2014-12-05,0.003140
2014-12-08,-0.003140
2014-12-09,-0.001049
2014-12-10,-0.014799
2014-12-11,-0.003200
2014-12-12,-0.007507
2014-12-15,0.024456
2014-12-16,-0.019089
2014-12-17,0.019089
2014-12-18,-0.032020
2014-12-19,0.005408
2014-12-22,0.010729
2014-12-23,0.004260
2014-12-24,0.004242
2014-12-26,-0.003180
2014-12-29,0.003180
2014-12-30,0.002114
2014-12-31,-0.013823
2015-01-02,0.014878
2015-01-05,0.000000
